model,language,domain,subdomain,correct,questions,accuracy
gpt-5.4,ur,Social Sciences,pakistan studies,1710,1895,90.24
gpt-5.4,ur,STEM,physics,612,621,98.55
gpt-5.4,ur,Profession,professional development,432,514,84.05
gpt-5.4,ur,Profession,professional studies,417,461,90.46
gpt-5.4,ur,Social Sciences,psychology,430,460,93.48
gpt-5.4,ur,Social Sciences,psychometrics,74,185,40.0
gpt-5.4,ur,Social Sciences,sociology,719,778,92.42
gpt-5.4,ur,Humanities,urdu grammar,612,756,80.95
gpt-5.4,ur,Humanities,urdu language,1992,2522,78.98
gpt-5.4,ur,Humanities,urdu literature,3859,5752,67.09
gpt-5.4-mini,ur,STEM,biology,849,931,91.19
gpt-5.4-mini,ur,STEM,chemistry,839,936,89.64
gpt-5.4-mini,ur,Social Sciences,civics,561,675,83.11
gpt-5.4-mini,ur,Social Sciences,commerce,360,423,85.11
gpt-5.4-mini,ur,STEM,computer science,742,823,90.16
gpt-5.4-mini,ur,Social Sciences,current and international affairs,261,437,59.73
gpt-5.4-mini,ur,Social Sciences,economics,745,907,82.14
gpt-5.4-mini,ur,Social Sciences,education,645,836,77.15
gpt-5.4-mini,ur,Humanities,ethics,187,228,82.02
gpt-5.4-mini,ur,Humanities,fine arts,118,148,79.73
gpt-5.4-mini,ur,Other,general knowledge,1025,1365,75.09
gpt-5.4-mini,ur,STEM,general science,843,926,91.04
gpt-5.4-mini,ur,Social Sciences,geography,515,630,81.75
gpt-5.4-mini,ur,Social Sciences,health and physical education,518,742,69.81
gpt-5.4-mini,ur,Humanities,islamic studies,1237,1497,82.63
gpt-5.4-mini,ur,STEM,mathematics,685,876,78.2
gpt-5.4-mini,ur,Social Sciences,pakistan studies,1468,1895,77.47
gpt-5.4-mini,ur,STEM,physics,554,621,89.21
gpt-5.4-mini,ur,Profession,professional development,387,514,75.29
gpt-5.4-mini,ur,Profession,professional studies,389,461,84.38
gpt-5.4-mini,ur,Social Sciences,psychology,412,460,89.57
gpt-5.4-mini,ur,Social Sciences,psychometrics,68,185,36.76
gpt-5.4-mini,ur,Social Sciences,sociology,698,778,89.72
gpt-5.4-mini,ur,Humanities,urdu grammar,547,756,72.35
gpt-5.4-mini,ur,Humanities,urdu language,1786,2522,70.82
gpt-5.4-mini,ur,Humanities,urdu literature,2990,5859,51.03
large-traversaal__Alif-1.0-8B-Instruct,ur,STEM,biology,252,847,29.75
large-traversaal__Alif-1.0-8B-Instruct,ur,STEM,chemistry,264,877,30.1
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,civics,218,516,42.25
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,commerce,118,329,35.87
large-traversaal__Alif-1.0-8B-Instruct,ur,STEM,computer science,276,683,40.41
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,current and international affairs,116,387,29.97
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,economics,249,749,33.24
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,education,204,590,34.58
large-traversaal__Alif-1.0-8B-Instruct,ur,Humanities,ethics,58,184,31.52
large-traversaal__Alif-1.0-8B-Instruct,ur,Humanities,fine arts,48,142,33.8
large-traversaal__Alif-1.0-8B-Instruct,ur,Other,general knowledge,404,941,42.93
large-traversaal__Alif-1.0-8B-Instruct,ur,STEM,general science,287,831,34.54
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,geography,184,451,40.8
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,health and physical education,179,520,34.42
large-traversaal__Alif-1.0-8B-Instruct,ur,Humanities,islamic studies,430,1366,31.48
large-traversaal__Alif-1.0-8B-Instruct,ur,STEM,mathematics,238,715,33.29
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,pakistan studies,592,1687,35.09
large-traversaal__Alif-1.0-8B-Instruct,ur,STEM,physics,168,510,32.94
large-traversaal__Alif-1.0-8B-Instruct,ur,Profession,professional development,173,464,37.28
large-traversaal__Alif-1.0-8B-Instruct,ur,Profession,professional studies,128,335,38.21
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,psychology,132,361,36.57
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,psychometrics,27,121,22.31
large-traversaal__Alif-1.0-8B-Instruct,ur,Social Sciences,sociology,270,601,44.93
large-traversaal__Alif-1.0-8B-Instruct,ur,Humanities,urdu grammar,212,749,28.3
large-traversaal__Alif-1.0-8B-Instruct,ur,Humanities,urdu language,733,2448,29.94
large-traversaal__Alif-1.0-8B-Instruct,ur,Humanities,urdu literature,1592,5708,27.89
meta-llama__Llama-3.1-8B-Instruct,ur,STEM,biology,428,931,45.97
meta-llama__Llama-3.1-8B-Instruct,ur,STEM,chemistry,395,936,42.2
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,civics,380,675,56.3
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,commerce,202,423,47.75
meta-llama__Llama-3.1-8B-Instruct,ur,STEM,computer science,426,823,51.76
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,current and international affairs,118,437,27.0
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,economics,447,907,49.28
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,education,487,836,58.25
meta-llama__Llama-3.1-8B-Instruct,ur,Humanities,ethics,130,228,57.02
meta-llama__Llama-3.1-8B-Instruct,ur,Humanities,fine arts,69,148,46.62
meta-llama__Llama-3.1-8B-Instruct,ur,Other,general knowledge,614,1365,44.98
meta-llama__Llama-3.1-8B-Instruct,ur,STEM,general science,477,926,51.51
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,geography,336,630,53.33
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,health and physical education,315,742,42.45
meta-llama__Llama-3.1-8B-Instruct,ur,Humanities,islamic studies,655,1497,43.75
meta-llama__Llama-3.1-8B-Instruct,ur,STEM,mathematics,380,876,43.38
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,pakistan studies,891,1895,47.02
meta-llama__Llama-3.1-8B-Instruct,ur,STEM,physics,271,621,43.64
meta-llama__Llama-3.1-8B-Instruct,ur,Profession,professional development,211,514,41.05
meta-llama__Llama-3.1-8B-Instruct,ur,Profession,professional studies,272,461,59.0
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,psychology,204,460,44.35
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,psychometrics,56,185,30.27
meta-llama__Llama-3.1-8B-Instruct,ur,Social Sciences,sociology,536,778,68.89
meta-llama__Llama-3.1-8B-Instruct,ur,Humanities,urdu grammar,339,756,44.84
meta-llama__Llama-3.1-8B-Instruct,ur,Humanities,urdu language,1068,2522,42.35
meta-llama__Llama-3.1-8B-Instruct,ur,Humanities,urdu literature,1880,5859,32.09
meta-llama__Llama-3.2-3B-Instruct,ur,STEM,biology,335,931,35.98
meta-llama__Llama-3.2-3B-Instruct,ur,STEM,chemistry,307,936,32.8
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,civics,335,675,49.63
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,commerce,166,423,39.24
meta-llama__Llama-3.2-3B-Instruct,ur,STEM,computer science,340,823,41.31
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,current and international affairs,101,437,23.11
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,economics,331,907,36.49
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,education,382,836,45.69
meta-llama__Llama-3.2-3B-Instruct,ur,Humanities,ethics,93,228,40.79
meta-llama__Llama-3.2-3B-Instruct,ur,Humanities,fine arts,52,148,35.14
meta-llama__Llama-3.2-3B-Instruct,ur,Other,general knowledge,519,1365,38.02
meta-llama__Llama-3.2-3B-Instruct,ur,STEM,general science,366,926,39.52
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,geography,268,630,42.54
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,health and physical education,265,742,35.71
meta-llama__Llama-3.2-3B-Instruct,ur,Humanities,islamic studies,511,1497,34.13
meta-llama__Llama-3.2-3B-Instruct,ur,STEM,mathematics,329,876,37.56
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,pakistan studies,699,1895,36.89
meta-llama__Llama-3.2-3B-Instruct,ur,STEM,physics,227,621,36.55
meta-llama__Llama-3.2-3B-Instruct,ur,Profession,professional development,171,514,33.27
meta-llama__Llama-3.2-3B-Instruct,ur,Profession,professional studies,203,461,44.03
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,psychology,159,460,34.57
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,psychometrics,64,185,34.59
meta-llama__Llama-3.2-3B-Instruct,ur,Social Sciences,sociology,415,778,53.34
meta-llama__Llama-3.2-3B-Instruct,ur,Humanities,urdu grammar,274,756,36.24
meta-llama__Llama-3.2-3B-Instruct,ur,Humanities,urdu language,848,2522,33.62
meta-llama__Llama-3.2-3B-Instruct,ur,Humanities,urdu literature,1450,5859,24.75
meta-llama__Llama-3.3-70B-Instruct,ur,STEM,biology,718,931,77.12
meta-llama__Llama-3.3-70B-Instruct,ur,STEM,chemistry,693,936,74.04
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,civics,541,675,80.15
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,commerce,325,423,76.83
meta-llama__Llama-3.3-70B-Instruct,ur,STEM,computer science,689,823,83.72
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,current and international affairs,212,437,48.51
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,economics,681,907,75.08
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,education,621,836,74.28
meta-llama__Llama-3.3-70B-Instruct,ur,Humanities,ethics,175,227,77.09
meta-llama__Llama-3.3-70B-Instruct,ur,Humanities,fine arts,112,148,75.68
meta-llama__Llama-3.3-70B-Instruct,ur,Other,general knowledge,978,1365,71.65
meta-llama__Llama-3.3-70B-Instruct,ur,STEM,general science,775,926,83.69
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,geography,497,630,78.89
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,health and physical education,487,742,65.63
meta-llama__Llama-3.3-70B-Instruct,ur,Humanities,islamic studies,1114,1496,74.47
meta-llama__Llama-3.3-70B-Instruct,ur,STEM,mathematics,633,876,72.26
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,pakistan studies,1397,1895,73.72
meta-llama__Llama-3.3-70B-Instruct,ur,STEM,physics,500,621,80.52
meta-llama__Llama-3.3-70B-Instruct,ur,Profession,professional development,336,514,65.37
meta-llama__Llama-3.3-70B-Instruct,ur,Profession,professional studies,359,461,77.87
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,psychology,360,460,78.26
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,psychometrics,65,185,35.14
meta-llama__Llama-3.3-70B-Instruct,ur,Social Sciences,sociology,665,778,85.48
meta-llama__Llama-3.3-70B-Instruct,ur,Humanities,urdu grammar,486,756,64.29
meta-llama__Llama-3.3-70B-Instruct,ur,Humanities,urdu language,1517,2522,60.15
meta-llama__Llama-3.3-70B-Instruct,ur,Humanities,urdu literature,2772,5859,47.31
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,STEM,biology,799,931,85.82
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,STEM,chemistry,797,936,85.15
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,civics,537,675,79.56
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,commerce,316,423,74.7
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,STEM,computer science,734,823,89.19
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,current and international affairs,204,437,46.68
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,economics,690,907,76.07
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,education,608,836,72.73
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Humanities,ethics,177,228,77.63
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Humanities,fine arts,112,148,75.68
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Other,general knowledge,942,1365,69.01
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,STEM,general science,801,926,86.5
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,geography,492,630,78.1
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,health and physical education,482,742,64.96
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Humanities,islamic studies,1129,1497,75.42
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,STEM,mathematics,688,864,79.63
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,pakistan studies,1321,1895,69.71
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,STEM,physics,547,621,88.08
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Profession,professional development,346,514,67.32
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Profession,professional studies,362,461,78.52
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,psychology,376,460,81.74
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,psychometrics,67,185,36.22
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Social Sciences,sociology,683,778,87.79
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Humanities,urdu grammar,496,756,65.61
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Humanities,urdu language,1543,2522,61.18
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,Humanities,urdu literature,2769,5859,47.26
meta-llama__llama-4-maverick,ur,STEM,biology,849,931,91.19
meta-llama__llama-4-maverick,ur,STEM,chemistry,872,935,93.26
meta-llama__llama-4-maverick,ur,Social Sciences,civics,598,675,88.59
meta-llama__llama-4-maverick,ur,Social Sciences,commerce,348,423,82.27
meta-llama__llama-4-maverick,ur,STEM,computer science,756,823,91.86
meta-llama__llama-4-maverick,ur,Social Sciences,current and international affairs,239,436,54.82
meta-llama__llama-4-maverick,ur,Social Sciences,economics,769,907,84.79
meta-llama__llama-4-maverick,ur,Social Sciences,education,651,836,77.87
meta-llama__llama-4-maverick,ur,Humanities,ethics,190,228,83.33
meta-llama__llama-4-maverick,ur,Humanities,fine arts,113,148,76.35
meta-llama__llama-4-maverick,ur,Other,general knowledge,1103,1365,80.81
meta-llama__llama-4-maverick,ur,STEM,general science,856,926,92.44
meta-llama__llama-4-maverick,ur,Social Sciences,geography,539,630,85.56
meta-llama__llama-4-maverick,ur,Social Sciences,health and physical education,612,742,82.48
meta-llama__llama-4-maverick,ur,Humanities,islamic studies,1225,1497,81.83
meta-llama__llama-4-maverick,ur,STEM,mathematics,795,869,91.48
meta-llama__llama-4-maverick,ur,Social Sciences,pakistan studies,1547,1895,81.64
meta-llama__llama-4-maverick,ur,STEM,physics,588,621,94.69
meta-llama__llama-4-maverick,ur,Profession,professional development,394,514,76.65
meta-llama__llama-4-maverick,ur,Profession,professional studies,382,461,82.86
meta-llama__llama-4-maverick,ur,Social Sciences,psychology,408,460,88.7
meta-llama__llama-4-maverick,ur,Social Sciences,psychometrics,68,185,36.76
meta-llama__llama-4-maverick,ur,Social Sciences,sociology,698,778,89.72
meta-llama__llama-4-maverick,ur,Humanities,urdu grammar,545,756,72.09
meta-llama__llama-4-maverick,ur,Humanities,urdu language,1770,2522,70.18
meta-llama__llama-4-maverick,ur,Humanities,urdu literature,3121,5859,53.27
microsoft__Phi-3.5-mini-instruct,ur,STEM,biology,268,927,28.91
microsoft__Phi-3.5-mini-instruct,ur,STEM,chemistry,309,926,33.37
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,civics,218,674,32.34
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,commerce,160,422,37.91
microsoft__Phi-3.5-mini-instruct,ur,STEM,computer science,283,820,34.51
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,current and international affairs,95,437,21.74
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,economics,288,905,31.82
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,education,305,835,36.53
microsoft__Phi-3.5-mini-instruct,ur,Humanities,ethics,74,226,32.74
microsoft__Phi-3.5-mini-instruct,ur,Humanities,fine arts,39,147,26.53
microsoft__Phi-3.5-mini-instruct,ur,Other,general knowledge,417,1364,30.57
microsoft__Phi-3.5-mini-instruct,ur,STEM,general science,278,924,30.09
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,geography,197,628,31.37
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,health and physical education,233,740,31.49
microsoft__Phi-3.5-mini-instruct,ur,Humanities,islamic studies,417,1494,27.91
microsoft__Phi-3.5-mini-instruct,ur,STEM,mathematics,365,857,42.59
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,pakistan studies,550,1887,29.15
microsoft__Phi-3.5-mini-instruct,ur,STEM,physics,212,615,34.47
microsoft__Phi-3.5-mini-instruct,ur,Profession,professional development,157,514,30.54
microsoft__Phi-3.5-mini-instruct,ur,Profession,professional studies,176,459,38.34
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,psychology,152,460,33.04
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,psychometrics,31,185,16.76
microsoft__Phi-3.5-mini-instruct,ur,Social Sciences,sociology,294,774,37.98
microsoft__Phi-3.5-mini-instruct,ur,Humanities,urdu grammar,202,754,26.79
microsoft__Phi-3.5-mini-instruct,ur,Humanities,urdu language,775,2512,30.85
microsoft__Phi-3.5-mini-instruct,ur,Humanities,urdu literature,1482,5834,25.4
microsoft__Phi-4-mini-instruct,ur,STEM,biology,302,931,32.44
microsoft__Phi-4-mini-instruct,ur,STEM,chemistry,342,936,36.54
microsoft__Phi-4-mini-instruct,ur,Social Sciences,civics,306,675,45.33
microsoft__Phi-4-mini-instruct,ur,Social Sciences,commerce,171,423,40.43
microsoft__Phi-4-mini-instruct,ur,STEM,computer science,345,823,41.92
microsoft__Phi-4-mini-instruct,ur,Social Sciences,current and international affairs,93,437,21.28
microsoft__Phi-4-mini-instruct,ur,Social Sciences,economics,363,907,40.02
microsoft__Phi-4-mini-instruct,ur,Social Sciences,education,381,836,45.57
microsoft__Phi-4-mini-instruct,ur,Humanities,ethics,89,228,39.04
microsoft__Phi-4-mini-instruct,ur,Humanities,fine arts,42,148,28.38
microsoft__Phi-4-mini-instruct,ur,Other,general knowledge,489,1364,35.85
microsoft__Phi-4-mini-instruct,ur,STEM,general science,303,926,32.72
microsoft__Phi-4-mini-instruct,ur,Social Sciences,geography,247,630,39.21
microsoft__Phi-4-mini-instruct,ur,Social Sciences,health and physical education,265,742,35.71
microsoft__Phi-4-mini-instruct,ur,Humanities,islamic studies,486,1497,32.46
microsoft__Phi-4-mini-instruct,ur,STEM,mathematics,397,876,45.32
microsoft__Phi-4-mini-instruct,ur,Social Sciences,pakistan studies,642,1895,33.88
microsoft__Phi-4-mini-instruct,ur,STEM,physics,207,621,33.33
microsoft__Phi-4-mini-instruct,ur,Profession,professional development,181,514,35.21
microsoft__Phi-4-mini-instruct,ur,Profession,professional studies,196,461,42.52
microsoft__Phi-4-mini-instruct,ur,Social Sciences,psychology,157,460,34.13
microsoft__Phi-4-mini-instruct,ur,Social Sciences,psychometrics,52,185,28.11
microsoft__Phi-4-mini-instruct,ur,Social Sciences,sociology,428,778,55.01
microsoft__Phi-4-mini-instruct,ur,Humanities,urdu grammar,246,756,32.54
microsoft__Phi-4-mini-instruct,ur,Humanities,urdu language,900,2522,35.69
microsoft__Phi-4-mini-instruct,ur,Humanities,urdu literature,1397,5859,23.84
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,STEM,biology,469,931,50.38
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,STEM,chemistry,490,936,52.35
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,civics,378,675,56.0
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,commerce,228,423,53.9
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,STEM,computer science,532,823,64.64
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,current and international affairs,166,437,37.99
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,economics,484,907,53.36
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,education,499,836,59.69
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Humanities,ethics,125,228,54.82
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Humanities,fine arts,76,148,51.35
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Other,general knowledge,667,1365,48.86
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,STEM,general science,582,926,62.85
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,geography,369,630,58.57
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,health and physical education,340,742,45.82
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Humanities,islamic studies,744,1497,49.7
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,STEM,mathematics,482,876,55.02
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,pakistan studies,816,1895,43.06
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,STEM,physics,372,621,59.9
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Profession,professional development,231,513,45.03
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Profession,professional studies,278,461,60.3
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,psychology,248,460,53.91
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,psychometrics,61,185,32.97
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Social Sciences,sociology,560,778,71.98
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Humanities,urdu grammar,367,756,48.54
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Humanities,urdu language,1095,2521,43.44
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,Humanities,urdu literature,2334,5858,39.84
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,STEM,biology,648,931,69.6
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,STEM,chemistry,624,936,66.67
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,civics,470,675,69.63
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,commerce,278,423,65.72
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,STEM,computer science,651,823,79.1
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,current and international affairs,169,437,38.67
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,economics,603,907,66.48
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,education,553,836,66.15
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Humanities,ethics,164,228,71.93
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Humanities,fine arts,84,148,56.76
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Other,general knowledge,778,1365,57.0
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,STEM,general science,680,926,73.43
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,geography,444,630,70.48
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,health and physical education,431,742,58.09
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Humanities,islamic studies,873,1497,58.32
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,STEM,mathematics,580,876,66.21
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,pakistan studies,1035,1895,54.62
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,STEM,physics,466,621,75.04
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Profession,professional development,279,514,54.28
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Profession,professional studies,321,461,69.63
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,psychology,309,460,67.17
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,psychometrics,82,185,44.32
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Social Sciences,sociology,625,778,80.33
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Humanities,urdu grammar,406,756,53.7
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Humanities,urdu language,1200,2522,47.58
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,Humanities,urdu literature,2309,5859,39.41
qwen__qwen3.6-27b,ur,STEM,biology,827,931,88.83
qwen__qwen3.6-27b,ur,STEM,chemistry,870,936,92.95
qwen__qwen3.6-27b,ur,Social Sciences,civics,548,675,81.19
qwen__qwen3.6-27b,ur,Social Sciences,commerce,343,423,81.09
qwen__qwen3.6-27b,ur,STEM,computer science,766,823,93.07
qwen__qwen3.6-27b,ur,Social Sciences,current and international affairs,179,437,40.96
qwen__qwen3.6-27b,ur,Social Sciences,economics,739,907,81.48
qwen__qwen3.6-27b,ur,Social Sciences,education,635,836,75.96
qwen__qwen3.6-27b,ur,Humanities,ethics,183,228,80.26
qwen__qwen3.6-27b,ur,Humanities,fine arts,116,148,78.38
qwen__qwen3.6-27b,ur,Other,general knowledge,963,1365,70.55
qwen__qwen3.6-27b,ur,STEM,general science,828,926,89.42
qwen__qwen3.6-27b,ur,Social Sciences,geography,531,630,84.29
qwen__qwen3.6-27b,ur,Social Sciences,health and physical education,530,742,71.43
qwen__qwen3.6-27b,ur,Humanities,islamic studies,1123,1497,75.02
qwen__qwen3.6-27b,ur,STEM,mathematics,779,876,88.93
qwen__qwen3.6-27b,ur,Social Sciences,pakistan studies,1268,1895,66.91
qwen__qwen3.6-27b,ur,STEM,physics,589,621,94.85
qwen__qwen3.6-27b,ur,Profession,professional development,332,514,64.59
qwen__qwen3.6-27b,ur,Profession,professional studies,394,461,85.47
qwen__qwen3.6-27b,ur,Social Sciences,psychology,391,460,85.0
qwen__qwen3.6-27b,ur,Social Sciences,psychometrics,81,185,43.78
qwen__qwen3.6-27b,ur,Social Sciences,sociology,695,778,89.33
qwen__qwen3.6-27b,ur,Humanities,urdu grammar,509,756,67.33
qwen__qwen3.6-27b,ur,Humanities,urdu language,1539,2522,61.02
qwen__qwen3.6-27b,ur,Humanities,urdu literature,2664,5859,45.47
