model,language,domain,subdomain,correct,questions,accuracy
claude-sonnet-4-6,ur,Social Sciences,psychometrics,98,185,52.97
claude-sonnet-4-6,ur,Social Sciences,sociology,729,778,93.7
claude-sonnet-4-6,ur,Humanities,urdu grammar,643,756,85.05
claude-sonnet-4-6,ur,Humanities,urdu language,2034,2522,80.65
claude-sonnet-4-6,ur,Humanities,urdu literature,3640,5859,62.13
deepseek-ai__DeepSeek-V4-Flash,ur,STEM,biology,907,929,97.63
deepseek-ai__DeepSeek-V4-Flash,ur,STEM,chemistry,914,935,97.75
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,civics,636,673,94.5
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,commerce,398,423,94.09
deepseek-ai__DeepSeek-V4-Flash,ur,STEM,computer science,794,821,96.71
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,current and international affairs,292,435,67.13
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,economics,842,905,93.04
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,education,715,834,85.73
deepseek-ai__DeepSeek-V4-Flash,ur,Humanities,ethics,195,228,85.53
deepseek-ai__DeepSeek-V4-Flash,ur,Humanities,fine arts,127,148,85.81
deepseek-ai__DeepSeek-V4-Flash,ur,Other,general knowledge,1156,1362,84.88
deepseek-ai__DeepSeek-V4-Flash,ur,STEM,general science,893,924,96.65
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,geography,587,627,93.62
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,health and physical education,668,740,90.27
deepseek-ai__DeepSeek-V4-Flash,ur,Humanities,islamic studies,1360,1494,91.03
deepseek-ai__DeepSeek-V4-Flash,ur,STEM,mathematics,857,873,98.17
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,pakistan studies,1696,1890,89.74
deepseek-ai__DeepSeek-V4-Flash,ur,STEM,physics,613,620,98.87
deepseek-ai__DeepSeek-V4-Flash,ur,Profession,professional development,452,514,87.94
deepseek-ai__DeepSeek-V4-Flash,ur,Profession,professional studies,420,461,91.11
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,psychology,431,458,94.1
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,psychometrics,72,182,39.56
deepseek-ai__DeepSeek-V4-Flash,ur,Social Sciences,sociology,729,777,93.82
deepseek-ai__DeepSeek-V4-Flash,ur,Humanities,urdu grammar,591,754,78.38
deepseek-ai__DeepSeek-V4-Flash,ur,Humanities,urdu language,1918,2514,76.29
deepseek-ai__DeepSeek-V4-Flash,ur,Humanities,urdu literature,3200,5841,54.79
enstazao__Qalb-1.0-8B-Instruct,ur,STEM,biology,308,837,36.8
enstazao__Qalb-1.0-8B-Instruct,ur,STEM,chemistry,288,864,33.33
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,civics,229,537,42.64
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,commerce,120,368,32.61
enstazao__Qalb-1.0-8B-Instruct,ur,STEM,computer science,269,607,44.32
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,current and international affairs,131,425,30.82
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,economics,278,732,37.98
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,education,231,578,39.97
enstazao__Qalb-1.0-8B-Instruct,ur,Humanities,ethics,85,223,38.12
enstazao__Qalb-1.0-8B-Instruct,ur,Humanities,fine arts,57,133,42.86
enstazao__Qalb-1.0-8B-Instruct,ur,Other,general knowledge,491,1154,42.55
enstazao__Qalb-1.0-8B-Instruct,ur,STEM,general science,256,678,37.76
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,geography,203,484,41.94
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,health and physical education,216,622,34.73
enstazao__Qalb-1.0-8B-Instruct,ur,Humanities,islamic studies,520,1486,34.99
enstazao__Qalb-1.0-8B-Instruct,ur,STEM,mathematics,268,777,34.49
